feature	importance.x	Frequency.x	importance.y	Frequency.y	comparison	drug
ENSG00000261934_gex	1	2	0.27735719201651754	1	CCLE	ERLOTINIB
ENSG00000101444_gex	0.9991832774827127	2	0.00653819683413627	1	CCLE	ERLOTINIB
ENSG00000117475_gex	0.994659129720285	2	0.029938059187887136	1	CCLE	ERLOTINIB
ENSG00000168488_cnv	0.992585149509719	2	0.15726083964211976	1	CCLE	ERLOTINIB
ENSG00000019582_gex	0.968353239913477	2	0.26057582014223446	2	CCLE	ERLOTINIB
ENSG00000132330_gex	0.9618318343587738	2	0.5932123193392981	2	CCLE	ERLOTINIB
ENSG00000185888_gex	0.9617798611076738	2	0.0010323468685478321	1	CCLE	ERLOTINIB
ENSG00000130204_gex	0.9586565162082297	2	0.0020646937370956643	1	CCLE	ERLOTINIB
ENSG00000146676_gex	0.9517737728125448	2	0.6243404450562056	2	CCLE	ERLOTINIB
ENSG00000077943_gex	0.9516822008939398	2	0.5276554255563203	2	CCLE	ERLOTINIB
ENSG00000073754_gex	0.9495785216827454	2	0.35196719431062173	2	CCLE	ERLOTINIB
ENSG00000136237_gex	0.9493533042613117	2	0.2962835512732278	1	CCLE	ERLOTINIB
ENSG00000076826_gex	0.9478287555623754	2	0.46433241569167244	2	CCLE	ERLOTINIB
ENSG00000101213_gex	0.943700594474996	2	0.3547946776783667	2	CCLE	ERLOTINIB
ENSG00000007047_gex	0.943235310131814	2	0.19137416838724478	2	CCLE	ERLOTINIB
ENSG00000115415_gex	0.9381270820236899	2	0.2821461344345033	2	CCLE	ERLOTINIB
ENSG00000175322_gex	0.9377162458483272	2	0.0364762560220234	1	CCLE	ERLOTINIB
ENSG00000115474_gex	0.9361223994812575	2	0.007570543702684103	1	CCLE	ERLOTINIB
ENSG00000143549_gex	0.9359021318932618	2	0.2570256939665061	2	CCLE	ERLOTINIB
ENSG00000111276_gex	0.9355729679696277	2	0.5603980270704291	2	CCLE	ERLOTINIB
ENSG00000089006_gex	0.9336375830953288	2	0.1684790089470062	2	CCLE	ERLOTINIB
