drug	total_sample_count	training_sample_count	testing_sample_count	type	pp	model	RMSE	Rsquare	COR
(5Z)-7-OXOZEAENOL	630	441	189	panel	scale+nzv	glm	0.1688234396040709	0.07563485792548563	0.2750179229168267
(5Z)-7-OXOZEAENOL	630	441	189	panel	scale+nzv+pca	glm	0.1745649826217464	0.014421154996499022	0.12008811346881515
(5Z)-7-OXOZEAENOL	630	441	189	mo	scale+nzv	glm	0.15759399094589702	0.1992213511223583	0.44634219061428454
(5Z)-7-OXOZEAENOL	630	441	189	mo	scale+nzv+pca	glm	0.1624902473444	0.14367072859571603	0.37903921775420024
5-FLUOROURACIL	667	467	200	panel	scale+nzv	glm	0.14559291559828677	0.05890390486603418	0.2427012667169955
5-FLUOROURACIL	667	467	200	panel	scale+nzv+pca	glm	0.1490495057033129	0.020527867820106467	0.14327549623053645
5-FLUOROURACIL	667	467	200	mo	scale+nzv	glm	0.13863014303164278	0.14415002308453526	0.3796709405321077
5-FLUOROURACIL	667	467	200	mo	scale+nzv+pca	glm	0.14498976162770721	0.0686310430330085	0.2619752717968024
681640	655	458	197	panel	scale+nzv	glm	0.06512817313196649	0.0033731618190933044	-0.058078927496066114
681640	655	458	197	panel	scale+nzv+pca	glm	0.06473864437899371	0.001446630674289962	0.03803459838475966
681640	655	458	197	mo	scale+nzv	glm	0.0649592826201482	1.9333471355811844e-4	-0.013904485375522477
681640	655	458	197	mo	scale+nzv+pca	glm	0.06497799409294797	1.8225123552072442e-5	-0.0042690893117938444
A-443654, KIN001-139	237	166	71	panel	scale+nzv	glm	0.1340527541835272	0.002959753476134498	0.05440361638838449
A-443654, KIN001-139	237	166	71	panel	scale+nzv+pca	glm	0.134169236607834	NA	NA
A-443654, KIN001-139	237	166	71	mo	scale+nzv	glm	0.1343462665216261	0.0022959971206250483	0.04791656415713723
A-443654, KIN001-139	237	166	71	mo	scale+nzv+pca	glm	0.131965700784139	0.03985375777585688	0.19963405965880893
A-770041, KIN001-111	237	166	71	panel	scale+nzv	glm	0.16781296925557654	NA	NA
A-770041, KIN001-111	237	166	71	panel	scale+nzv+pca	glm	0.16781296925557654	NA	NA
A-770041, KIN001-111	237	166	71	mo	scale+nzv	glm	0.1653394351929517	0.034915252715105	0.18685623541938598
A-770041, KIN001-111	237	166	71	mo	scale+nzv+pca	glm	0.16729258853520884	0.008475134579398875	0.0920604941296693
A-83-01	635	444	191	panel	scale+nzv	glm	0.03253941945341497	0.006092972012624978	0.07805749171364
A-83-01	635	444	191	panel	scale+nzv+pca	glm	0.032596004507056256	0.0011240192090632988	-0.03352639570641763
A-83-01	635	444	191	mo	scale+nzv	glm	0.032408041458623894	0.011560224017901532	0.10751848221539184
