drug	total_sample_count	training_sample_count	testing_sample_count	type	pp	model	RMSE	Rsquare	COR	run
bgj398	63	44	19	panel	scale+nzv	glm	0.2617963635274368	0.06052910145977207	0.2460266275421668	iter_1
bgj398	63	44	19	panel	scale+nzv+pca	glm	0.26635671124920896	0.017712465798064004	0.13308818804861686	iter_1
bgj398	63	44	19	mo	scale+nzv	glm	0.2754318149225018	0.012098652321070318	0.1099938740161029	iter_1
bgj398	63	44	19	mo	scale+nzv+pca	glm	0.2650054388207155	0.1098785258817358	0.3314792993261205	iter_1
binimetinib	173	121	52	panel	scale+nzv	glm	0.129107211028543	0.001566637323819179	-0.039580769621360055	iter_1
binimetinib	173	121	52	panel	scale+nzv+pca	glm	0.12233068001874077	0.009771932539236423	0.0988530856333601	iter_1
binimetinib	173	121	52	mo	scale+nzv	glm	0.12222520629854249	0.07248077095883668	0.2692225305557406	iter_1
binimetinib	173	121	52	mo	scale+nzv+pca	glm	0.114760973927367	0.1221766044770934	0.3495377010811472	iter_1
bkm120	170	119	51	panel	scale+nzv	glm	0.20027834160975047	0.04980380596731218	-0.22316766335495872	iter_1
bkm120	170	119	51	panel	scale+nzv+pca	glm	0.18732502848969443	NA	NA	iter_1
bkm120	170	119	51	mo	scale+nzv	glm	0.19472525428038207	2.897580283849298e-4	0.017022280352083554	iter_1
bkm120	170	119	51	mo	scale+nzv+pca	glm	0.1835081410368174	0.0407174869554879	0.20178574517415224	iter_1
byl719	141	99	42	panel	scale+nzv	glm	0.19776914330861972	NA	NA	iter_1
byl719	141	99	42	panel	scale+nzv+pca	glm	0.19232745104579552	0.1043669907009822	0.32305880378188456	iter_1
byl719	141	99	42	mo	scale+nzv	glm	0.18472623149309678	0.13722630672482225	0.370440692587656	iter_1
byl719	141	99	42	mo	scale+nzv+pca	glm	0.19125186266820574	0.06917203927208726	0.2630057780203455	iter_1
byl719-ljm716	134	94	40	panel	scale+nzv	glm	0.12728941698897012	NA	NA	iter_1
byl719-ljm716	134	94	40	panel	scale+nzv+pca	glm	0.12375215967494325	0.07534661141441064	0.27449337225953313	iter_1
byl719-ljm716	134	94	40	mo	scale+nzv	glm	0.10320321242016466	0.38450463900999615	0.6200843805563854	iter_1
byl719-ljm716	134	94	40	mo	scale+nzv+pca	glm	0.10171061182680154	0.4340200983805274	0.6588020175899034	iter_1
cgm097	132	92	40	panel	scale+nzv	glm	0.14188114818690098	NA	NA	iter_1
cgm097	132	92	40	panel	scale+nzv+pca	glm	0.14188114818690098	NA	NA	iter_1
cgm097	132	92	40	mo	scale+nzv	glm	0.1426571540614061	0.0014252501612216951	-0.037752485497271504	iter_1
cgm097	132	92	40	mo	scale+nzv+pca	glm	0.14874778436596522	0.038172546783941476	-0.19537795879766345	iter_1
clr457	159	111	48	panel	scale+nzv	glm	0.11058560020817207	NA	NA	iter_1
clr457	159	111	48	panel	scale+nzv+pca	glm	0.11390082667740037	0.004268908290050979	-0.06533688307572515	iter_1
clr457	159	111	48	mo	scale+nzv	glm	0.11058560020817207	NA	NA	iter_1
clr457	159	111	48	mo	scale+nzv+pca	glm	0.10856322473726408	0.036415039808158266	0.19082725121994046	iter_1
hdm201	137	96	41	panel	scale+nzv	glm	0.21693427054504058	0.006292642279089813	0.07932617650618119	iter_1
hdm201	137	96	41	panel	scale+nzv+pca	glm	0.2123753490521405	0.08113708235649413	0.28484571675995785	iter_1
hdm201	137	96	41	mo	scale+nzv	glm	0.21838602056353454	0.019767408071963952	0.14059661472440918	iter_1
hdm201	137	96	41	mo	scale+nzv+pca	glm	0.2158600954246369	0.032950498410338855	0.18152272147127713	iter_1
lee011	172	120	52	panel	scale+nzv	glm	0.21120462787899788	NA	NA	iter_1
lee011	172	120	52	panel	scale+nzv+pca	glm	0.21120462787899788	NA	NA	iter_1
lee011	172	120	52	mo	scale+nzv	glm	0.21252608609768897	0.0019100785417396798	0.04370444533156415	iter_1
lee011	172	120	52	mo	scale+nzv+pca	glm	0.21120462787899788	NA	NA	iter_1
ljm716	38	27	11	panel	scale+nzv	glm	0.14721032771445441	NA	NA	iter_1
ljm716	38	27	11	panel	scale+nzv+pca	glm	0.14137651374917726	NA	NA	iter_1
ljm716	38	27	11	mo	scale+nzv	glm	0.1581864321582819	0.0010459556069029239	0.032341236941448664	iter_1
ljm716	38	27	11	mo	scale+nzv+pca	glm	0.1645309403753242	0.004771647599366202	0.06907711342670741	iter_1
lka136	115	80	35	panel	scale+nzv	glm	0.2061883552110942	NA	NA	iter_1
lka136	115	80	35	panel	scale+nzv+pca	glm	0.2063376608863087	NA	NA	iter_1
lka136	115	80	35	mo	scale+nzv	glm	0.2088469631089287	0.0038054876407544987	0.06168863461574181	iter_1
lka136	115	80	35	mo	scale+nzv+pca	glm	0.2064475703346977	8.656845561208116e-4	0.029422517841286317	iter_1
llm871	63	44	19	panel	scale+nzv	glm	0.26996385363454783	0.008795250423510464	0.09378299645197131	iter_1
llm871	63	44	19	panel	scale+nzv+pca	glm	0.27574869262377666	0.03008662414675775	-0.1734549628772776	iter_1
llm871	63	44	19	mo	scale+nzv	glm	0.2662522242633131	0.05338686958848397	0.23105598799529947	iter_1
llm871	63	44	19	mo	scale+nzv+pca	glm	0.2563057226400997	0.19272390297259392	0.43900330633446705	iter_1
bgj398	63	44	19	panel	scale+nzv	glm	0.2572748144853083	0.015876484996117348	0.1260019245730689	iter_2
bgj398	63	44	19	panel	scale+nzv+pca	glm	0.24879202126011232	0.07127768222816462	0.26697880482945574	iter_2
bgj398	63	44	19	mo	scale+nzv	glm	0.25590380020355885	0.02717350114769972	0.16484386900245857	iter_2
bgj398	63	44	19	mo	scale+nzv+pca	glm	0.25642971206122295	0.012916922770522737	0.11365264084271309	iter_2
binimetinib	173	121	52	panel	scale+nzv	glm	0.10119851170357341	0.03016391492097111	0.1736776177893142	iter_2
binimetinib	173	121	52	panel	scale+nzv+pca	glm	0.10441425995622954	0.005887273175596834	0.07672856818419613	iter_2
binimetinib	173	121	52	mo	scale+nzv	glm	0.09315640494669061	0.1557035389668159	0.39459287749123895	iter_2
binimetinib	173	121	52	mo	scale+nzv+pca	glm	0.10494255821869553	0.0343764977510291	0.1854090012675466	iter_2
bkm120	170	119	51	panel	scale+nzv	glm	0.21671103819021054	NA	NA	iter_2
bkm120	170	119	51	panel	scale+nzv+pca	glm	0.21671103819021054	NA	NA	iter_2
bkm120	170	119	51	mo	scale+nzv	glm	0.21671103819021054	NA	NA	iter_2
bkm120	170	119	51	mo	scale+nzv+pca	glm	0.21565871243205748	0.06770070711706927	0.2601935954574387	iter_2
byl719	141	99	42	panel	scale+nzv	glm	0.23681707328801116	0.019574102495053133	-0.13990747833855463	iter_2
byl719	141	99	42	panel	scale+nzv+pca	glm	0.22783422101642412	0.08419236036207867	0.2901591983068582	iter_2
byl719	141	99	42	mo	scale+nzv	glm	0.22969280896665298	0.08511188771875305	0.2917394174923112	iter_2
byl719	141	99	42	mo	scale+nzv+pca	glm	0.22412599711493914	0.22260478199269942	0.47181011221962954	iter_2
byl719-ljm716	134	94	40	panel	scale+nzv	glm	0.10792562700167582	NA	NA	iter_2
byl719-ljm716	134	94	40	panel	scale+nzv+pca	glm	0.11506819018315613	0.008272075166821437	-0.09095094923540621	iter_2
byl719-ljm716	134	94	40	mo	scale+nzv	glm	0.10588288580906235	0.017883767856119386	0.13373020547400422	iter_2
byl719-ljm716	134	94	40	mo	scale+nzv+pca	glm	0.11456485855733424	0.02039803386659004	0.14282168556136718	iter_2
cgm097	132	92	40	panel	scale+nzv	glm	0.20015061068801884	0.0054603518515307205	0.07389419362528236	iter_2
cgm097	132	92	40	panel	scale+nzv+pca	glm	0.1956781636188728	0.0817016145915286	0.2858349429155375	iter_2
cgm097	132	92	40	mo	scale+nzv	glm	0.1998131535156612	0.007168268143099432	0.08466562551058979	iter_2
cgm097	132	92	40	mo	scale+nzv+pca	glm	0.19784667603826744	0.06138239037206307	0.24775469798182045	iter_2
clr457	159	111	48	panel	scale+nzv	glm	0.11935492099975907	NA	NA	iter_2
clr457	159	111	48	panel	scale+nzv+pca	glm	0.11935492099975907	NA	NA	iter_2
clr457	159	111	48	mo	scale+nzv	glm	0.11630467536895815	0.06348457832584013	0.2519614619854396	iter_2
clr457	159	111	48	mo	scale+nzv+pca	glm	0.11598861335748534	0.0987516343942814	0.3142477277472049	iter_2
hdm201	137	96	41	panel	scale+nzv	glm	0.2171701338391975	NA	NA	iter_2
hdm201	137	96	41	panel	scale+nzv+pca	glm	0.2171701338391975	NA	NA	iter_2
hdm201	137	96	41	mo	scale+nzv	glm	0.2051986243100903	0.17001819371753712	0.4123326250947615	iter_2
hdm201	137	96	41	mo	scale+nzv+pca	glm	0.2144120723287411	0.09239085107997273	0.3039586338302841	iter_2
lee011	172	120	52	panel	scale+nzv	glm	0.1897548069395925	0.007172542751064816	0.08469086580656036	iter_2
lee011	172	120	52	panel	scale+nzv+pca	glm	0.19394377035940868	0.0026258735382119797	-0.051243277980745724	iter_2
lee011	172	120	52	mo	scale+nzv	glm	0.18867803871134745	0.013516965509720216	0.1162624853928395	iter_2
