feature	bgj398	binimetinib	bkm120	byl719-ljm716	byl719	cgm097	clr457	hdm201	lee011	ljm716	lka136	llm871
Adipocytes_gex	12.6759380611045	29.8835462526716	47.6440770532012	9.75430979134983	4.02478639669257	50.2330552396333	3.7389235101324	22.3634030684563	31.987792400728	100	26.2274078869649	4.73408994684888
Astrocytes_gex	100	30.7773328393934	33.0517327307128	18.1867443518332	4.57854823536555	74.7651922865448	7.46089799672293	14.1508114400995	57.4071829288572	9.56266607514362	10.8608476539767	7.53728187824462
B_cells_gex	16.6248061280144	72.5752797504564	57.5703661936198	8.24787029739444	1.50752432855304	47.274163710632	9.56969067002799	22.0326100425143	37.866109968507	11.021306279664	28.1651655640061	4.97445802200439
Basophils_gex	13.7402403178585	49.5633989700282	21.1204027206452	10.4186950829288	1.31698750944581	51.8640195656083	5.25672860388209	16.1327173621928	32.9202085368576	11.5377078121273	63.5877377698656	5.99350062803858
CD4_T_cells_gex	18.0669532509828	27.3178570238633	36.2886425236769	5.33059180063441	3.24065972200744	49.7459055089732	1.47283484666957	19.4270489948022	33.1146321233062	4.84731187398204	46.0934599930306	6.73375151102562
CD4_Tcm_gex	15.1190520938031	22.59990005018	71.0484995972669	8.2851156712333	0.627557159027309	47.7785944780997	4.84582434558291	26.0697345617377	32.3146520630376	12.7843306277615	29.2296887862024	5.1919390076037
CD4_Tem_gex	15.2704836709204	31.1871129659286	43.6223757331779	8.74311282835696	1.8965484077125	52.3888028723174	7.43695843929895	18.0560163998988	35.2962761101125	0	10.5817292922527	4.96424641279574
CD4_memory_T_cells_gex	16.7911188965813	30.1980899841344	27.906118072901	7.49873809927987	4.86487845825981	55.8424089821098	4.81182334351411	13.196306248127	31.678798192124	11.5465392759042	34.3594458156503	6.0755195506395
CD4_naive_T_cells_gex	14.496245757327	38.4315254563572	70.4886698863348	8.53226055870883	1.39754225385118	50.3785327376696	9.56073453101017	16.273049129667	33.8139401168398	31.4931449127696	11.9339687509135	8.6945217869767
CD8_T_cells_gex	19.500650928579	42.0370397437608	42.1756089668826	12.9112657143747	1.76606868816677	50.3430142826263	2.99283759232528	33.6107063658516	71.164350045454	7.99092691003068	44.0753421070337	6.89484719978333
CD8_Tcm_gex	19.3426170565614	59.9173585019529	59.3293575316547	7.94165830231085	1.61208515945804	42.5130254576093	6.0873805252136	38.1495546532613	43.0429850820489	6.36784357569825	43.5012028954965	6.27604108370188
CD8_Tem_gex	12.3288863959923	40.4964575142868	20.0819222586059	8.08464573911107	3.12788933228189	54.0307646352969	7.14869141615975	15.0663789826225	28.4375178524466	7.92069042120726	41.0359447055584	6.44523481572681
CD8_naive_T_cells_gex	16.4810879961153	41.559054373603	26.7527905825152	9.94562518256518	1.34577205773288	46.4076681569722	9.00128030279163	20.7319413077226	25.1096122779389	14.0379662947184	37.2962564577301	5.60061646164141
CLP_gex	13.7520995463189	39.7633922200995	82.0443443364081	4.43371409108484	0.494101119259079	57.927890896784	8.7344212376102	17.8577023390088	29.7709160647191	13.8788003726097	68.4232814807594	6.85973977705729
CMP_gex	36.41933684997	69.0515695939002	9.73798549203961	16.8642500594631	20.9846382611856	48.7671192012702	5.1172513229892	13.6882901020105	41.0287831256188	12.39826739034	18.8779083272664	6.09695599887624
Chondrocytes_gex	60.9359912493903	15.2537109786138	54.9505365990354	8.37393317719934	3.4039889790313	49.4479693199348	4.79886671563813	25.4943254930216	48.4558173947769	18.709834643681	58.6877216731975	6.307473114224
Class_switched_memory_B_cells_gex	14.7946304135448	36.8461838595831	63.3701874399768	8.13078788327177	2.50759365768763	58.2569896738406	3.54474978752589	5.45584879929968	33.6719647467884	10.9343632820759	64.159656918971	5.4683865815813
DC_gex	14.119318530465	33.4303029152563	36.9807211424945	5.12306297208518	2.38490166531397	47.8058923596757	2.6962867736827	12.5716593237214	39.0540834107578	12.2626780262005	50.1853759771414	3.49278530108825
ENSG00000002016_cnv.panel	17.2716770992479	0	0	7.64873826232038	0	0	0	0	0	12.4440306931771	27.3739195541644	5.28513613074083
ENSG00000004700_cnv.panel	0	0	0	0	0	0	0	0	0	12.4564523467161	0	0
ENSG00000005007_mut.panel	0	0	0	0	0	0	0	0	0	0	42.6471001252693	0
ENSG00000005339_mut.panel	0	32.8037918164344	43.4769846267625	12.7412334897289	2.66405187526483	52.542342810296	3.89321490625333	25.0218474243953	34.2329025581282	12.2639310658174	38.4456443798916	0
ENSG00000008130_mut.panel	13.6887877344058	0	0	0	0	50.6274858068286	0	0	0	12.2639310658174	0	5.44274891921327
ENSG00000009307_mut.panel	0	0	0	0	0	49.5292142266233	6.22010980387464	0	0	0	0	0
ENSG00000010671_cnv.panel	16.1785219793812	32.9535971115064	44.3277503402052	0	2.45793391510538	53.3176961226062	4.92382300335738	0	33.8048374881697	12.3002796909347	44.8813685023131	5.24048547321632
ENSG00000012048_mut.panel	16.4759525619619	27.772345775038	56.9104597596474	5.52130152604223	2.50155527740528	50.6025051081131	3.81453155638577	0	32.8885758008941	12.2639310658174	48.1414744910672	5.75543724599862
ENSG00000012124_cnv.panel	15.5496405650198	0	0	0	0	0	0	0	0	12.2639310658174	0	5.23178437946663
ENSG00000015285_cnv.panel	15.6360103390783	32.2930300747822	69.3961459927025	8.64144094717753	0	54.0020873457647	4.71005911839152	0	34.2714715597822	12.2639310658174	0	5.7609560009118
