feature	A-674563	Abt-737	Afatinib	Alisertib	Alvocidib	AT-7519	Axitinib	Azd-1480	Barasertib	Bay 11-7085	BMS-345541 free base	Bortezomib	Bosutinib	Cabozantinib	Canertinib	Cediranib	Chir-99021	CI-1040	Crenolanib	Crizotinib	Dactolisib	Dasatinib	DBZ	Doramapimod	Dovitinib	Elesclomol	Erlotinib	Foretinib	GDC-0879	Gefitinib	GSK-1838705A	GSK-1904529A	Gsk-690693	GW-2580	Ibrutinib	Idelalisib	Imatinib	JNJ-28312141 free base	JNJ-7706621	JNJ38877605	JQ1 compound	KI20227	KU-55933	KW-2449	Lapatinib	Lenvatinib	Linifanib	Masitinib	Met Kinase Inhibitor	MGCD-265 analog	Midostaurin	MK-2206	MLN120B	MLN8054	Momelotinib	Motesanib	Neflamapimod	Neratinib	NF-kB Activation Inhibitor	Nilotinib	Nintedanib	NSC 74859	Nutlin-3	NVP-ADW742	Nvp-tae 684	Pazopanib	PD173955	Pelitinib	Pha-665752	PHT-427	PI-103	Pictilisib	Ponatinib	PP242	PRT062607	Pyridone 6	Quizartinib	Raf265(chir-265)	Regorafenib	Ruboxistaurin	Ruxolitinib	Sapanisertib	Saracatinib	SB-431542	Seliciclib	Selumetinib	Sepantronium bromide	Sgx-523	Sirolimus	SNS-032	Sorafenib	STO609	Sunitinib	Tanespimycin	TG-100-115	Tivozanib	Tofacitinib	Tozasertib	Trametinib	Vandetanib	Vatalanib	Vemurafenib	Venetoclax	Vismodegib	Volasertib	XAV-939
AKT1_mut.panel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALK_mut.panel	0.148638323579119	1.61909150713428	0.364201360317036	1.12827475047238	0	0.42413488600912	4.11196973145922	3.0407868794697	0.416788336579061	2.89629294595215	0.90342637754646	3.25458958913101	4.42556655202927	0.0534517566585527	0.108686623337479	8.22815620809235	0.801083387330656	0.828380465284473	0	0.20247831407577	0.0430228377606222	0	3.58024232441463	0.135128908572767	0	0.230743978726077	0.260771007793408	0.150200480316955	5.96037852860003	0	6.64473792583653	0	0.726496939396999	0	0.000397694870331769	0	0.170970988945528	0.112292888246736	1.54887876831828	0.215398018807086	1.12705863937328	0.291963719784092	0.101221658861178	0	0	0	0.997728109667419	0	0	4.27393480329263	0	0	6.21914702754459	0.0136433110306224	0	0.0823132186884688	0.0124401999893254	10.8177592046532	0.229769273622283	1.41695303044001	0.711204809849977	0.0510931886618535	8.10671293712314	0	1.37979643209001	0.244247514928987	6.67293472195578	2.54654897218487	0.0651242582513689	1.56877194828873	0.0720069766241573	0.695711197861856	0.408517199462348	0.570167480032003	1.32818403768153	0	0.508032219378806	0	0.137909995871644	0	2.68661286067319	0.0690198676207166	1.32744702825799	0.435518484737158	3.42509677762587	0	0	13.1921983698559	0	0	0.0117557702092978	0.354951126737709	0.427341097599821	1.52771870880457	13.9866237171817	0.333790479611211	0.00201021583918641	0.0192906480643687	1.11764574362153	0.279006981594987	0.0697157412482449	0	1.86808997503823	0.182582967892215	0.161212519048649	1.70555035430277
AMER1_mut.panel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD11_mut.panel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APC_mut.panel	3.85814231000319	2.03071119915791	0	0	3.53986859905101	0.604402405528119	0.618072793349656	0.0142141450290324	0	0	0.107741425020151	0.484702776134019	3.59492111522896	3.85951622231683	2.4213227983495	2.68014309112368	0	0.217882684735694	7.95199958708825	4.54054176623788	0	6.54134421944067	0.561373216767303	0	2.51926270160239	0	0.28820043953615	2.16334450619552	0	0.307489874070027	2.61149381611027	0	0.0115282273696764	0	3.84761049089343	3.7132102251101	0	7.49135510722629	1.87834631058755	0.836841543193395	1.80824867780785	3.90380000597861	1.83464237926618	0	5.14633530297036	0	0	0.390957057842966	0	1.04490016842942	5.38612045835642	15.8371581941133	3.62907765080134	5.91280168658984	0	7.49736405031648	0.141821337411708	0.00480417949997691	0.0192132721369101	1.90104786314038	9.53588934275721	0.196274634729583	0.318478629453679	5.92868515330065e-05	0	8.55326513779917	0	0	0.0457962108116398	0	0	16.047162715568	6.95216307126887	6.83853953022857	2.13144377345922	1.46892301180096	5.7629327006728	14.3571200942572	0	2.09316979224905	0.276866598123695	6.79395861274615	1.78369733759663	6.08688843294518	0.823689034695395	0	0.00307121784632154	0	0	1.64650009101298	0	0.55844967627081	1.01049314679273	1.62418073661082	0	6.13109415519284	3.82261121131513	4.26847803505155	0.603360459989235	0.151992900419074	0.135256480603415	0.155600940049949	0	0.017936810991456	0	1.53730475910245
APOBEC3B_mut.panel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF28_mut.panel	31.9114973276792	2.25898398193192	20.9923782844891	5.03156584068517	8.83443761781488	14.3403458874181	0	7.40693076561091	1.88638559882534	0	1.633357542098	9.60158786859923	0.443775445738037	0.70661820600757	1.23597771759969	5.00455563331351	0.275315002936417	6.20516940144046	2.85851946681066	1.43355736757747	9.29035200326594	5.88359859768546	0.748228074237357	0	0	0	0	7.27510075063577	1.44668169334584	0	0.455211154426322	0.670124022959268	6.35459461409078	3.78058410495133	0	0	8.9030967830772	0	5.6881909559044	0.998399315976011	0	9.62602596475035	2.44830894292536	0	0	0	6.63831745186341	4.29021045216751	0	4.74417303233654	2.39517795197585	6.63828467605512	0.280768903261065	0.502348127750602	0	6.85596543313912	0.156154681619679	15.7590520464051	1.16894259636338	7.81172675038298	7.15595953076174	0.0879374881450269	0	0	2.75483673526824	0	7.24161202522205	0	0.572035920995976	1.56877194828873	2.50217038171721	0	0	0	10.9008910556098	0	0	0	0.424373468873589	11.7898022376955	0	21.8503100086443	0.389729323026928	0.456173233815096	0.872915748392685	5.08262894279958	6.03049198609524	3.06026550106191	0	8.07329978449515	0	0.776916637779729	0	0	7.61413025370251	4.43007994579202	16.5537120431942	0.895928590692332	14.18280607187	0.714938456465453	0.336962332571121	0.923849601207743	0	0.203509738456599	0	0.0867220135730636
ARID1A_mut.panel	0.354108677382284	2.2433614911973	0.621346131669954	4.28641947834149	1.439329856746	1.77385811810602	14.7510526384879	0.499753881904348	1.56627667890785	2.25587456724265	0.357549162189303	3.65820915265728	0.006449466338452	3.39520260668733	0.426911416181842	4.30323619221918	0.801083387330656	0.669040841667697	2.08168915395914	3.29453114713473	0.529888185572216	17.0634564565342	0	0.71214881442092	0.294200963966546	1.10341795806008	0	3.5292401564271	0.0718847073102098	0	0.641293986732076	0.0284505689597071	0.431443516469184	2.18693604413725	0.134344774264424	6.74017304944665	0	12.11899374821	0	1.21544066966764	6.16197636051884	13.8973666923347	2.60577063835914	0.0222964855653786	2.74528433021714	0	8.55787525681489	11.6345483682425	0.767217377978268	2.58417173532035	4.53328043769321	1.74623880496246	0.733319459217046	2.26536047023053	1.48620948952559	11.7580732878372	0.167291318929583	0.0465828769590275	1.5649249382449	9.44504051938051	16.346069142729	0.0478087413557373	1.5706753057856	0.207904606563024	0.0698525284882804	11.3725675273818	5.82805803807539	0.112127074674511	0.0276915971088537	1.664142824426	1.11161925808925	0	0	6.40826091862755	2.19620447613342	1.86388377804621	5.83440926946066	2.17310196207529	3.78762565766943	1.62178269193139	0	0.0138698901679136	3.4066148974972	0.141562528019566	0.765530802049115	0.728924626876997	0.149509625696043	2.12377291704444	0	0.0445847611656399	4.59799541542563	0.0164406380686548	1.92700112498444	0.258248420060488	1.02442980122656	16.2356038978308	6.04847194097506	0.352638659266315	4.09312687231163	0.000816366046798896	5.61820642907103	0	1.6139101186581	0.170502632510208	1.8199165657003	2.67030851790962
ARID1B_mut.panel	16.3587951519627	6.86710561407518	5.61095492793522	4.63632988668166	0.793898825877304	0.353610572650743	3.45080420989569	4.39266251789703	10.1568914783783	0	0.124027975464941	1.78589366438226	1.21305682148017	11.5754755904499	1.02054202944066	3.26143066497127	0.395086494965187	14.3402371523901	8.70241687316129	0.745880276225643	0.745546445934829	0.0141931443585653	0	3.28968074803284	0.106336470634912	8.21829460560838	0.018756529109985	0.227649483990888	0.550251953741315	0.0578895277135616	0.00559801535142396	5.78471147749446	1.02643295708999	8.0148357347742	0	7.66748640505289	3.7325934972223	1.41393378063135	0.968019800567795	2.00282485398988	0	10.4722435109557	0.905479261250795	1.77483310948823	7.02895904541725	0	0.022445370426413	5.68281771951936	0.00983860646287883	27.5485427497236	40.768521072336	21.1174891091998	3.4207989217	0.353432960053468	0.367195608008436	0.48764144106329	0.142506469060641	0.0405037706821081	1.06221441239621	3.62836414712103	1.80160424992333	9.54029214007629	0	4.51950263516531	4.57163021133631	0.498067877721661	7.69865619116003	0.940646388804496	0.10760791160255	0.321083117314066	1.20496027741024	2.4130601802988	0.274234401448632	7.73647830470719	0.00510316454133622	6.50537810239295	0.109071287215233	0.158771238801379	3.07049674165938	1.08358619715119	3.4191915879901	0.0316706585194687	0.32310095643979	2.25759571790192	3.66342833452257	2.68101239487169	18.0300409493288	0.246355274757538	10.0946266533095	0.00620944044864372	1.91402846710621	3.10679850472315	4.6320946108175	0.89725505703265	1.12506224116683	5.01111270294628	11.8866483714667	1.57070161372031	3.05584833167131	0.292195312655357	0.430513048349835	15.1349115113488	0	16.2497729826449	62.6972856689565	33.9559377330984
ARID2_mut.panel	0	0.829603420143906	0.0593975593979372	1.22512277629535	1.24434889903417	0.759934467389767	2.00899627665713	1.0661879211957	0.500458174112514	2.45470874247585	8.10769442572424	0	0	2.31397978163134	0.417263933529724	4.05836580159103	0.801083387330656	1.95793451196635	1.72726135026258	9.57322751409425	0.94188837456363	2.24847876480437	0.390700669535325	3.61166578592532	4.50747253153158	1.53590111557053	2.58854914421853	3.51974715422523	0.554378963580744	0.44908586828312	1.85773229305201	7.06250060976345	0.709510963529915	4.8607540112578	4.68697747849603	0.10679747639438	1.76333543940114	0	4.75572948978152	0	0.720188282747645	0.661481224635067	0.835498445730718	3.11169223230759	2.49689493968909	0	0.766113572208383	4.97052789006172	7.29625711080539	0.16130491376106	4.48705132973224	9.860779717236	0.0616773152793608	2.87245732274581	19.9091922711992	0.652790503941354	4.35287276705325e-05	0.077751657492232	8.43150106247395	0	1.93187969391243	0.464585310779288	0.381190040165485	0.0790304813759247	3.02205417977911	2.6164895495908	9.16303477539934	2.31819428282953	1.80801346388649	1.56877194828873	0.877659715065166	0	0	1.20801989763298	9.92475425566977	0.178554916780828	1.39914023859784	1.59133532645989	6.37659237358062	0	2.85176929543153	0	1.53028681089788	1.32043388184127	0	0.796075470476736	0	4.85700470817989	3.17534150093429	0	1.47150970680562	5.17471928287427	0.715833833741942	0.488284848938703	5.72801268583786	0	2.53698274015957	1.5371898396696	0.229590162307241	4.57552031519115	1.41208669684052	0	0.103059801524778	0	0	2.81285275610241
